country,hdicode
Afghanistan,Low
Angola,Medium
Albania,High
Andorra,Very High
United Arab Emirates,Very High
Argentina,Very High
Armenia,High
Antigua and Barbuda,High
Australia,Very High
Austria,Very High
Azerbaijan,High
Burundi,Low
Belgium,Very High
Benin,Low
Burkina Faso,Low
Bangladesh,Medium
Bulgaria,High
Bahrain,Very High
Bahamas,Very High
Bosnia and Herzegovina,High
Belarus,Very High
Belize,Medium
Bolivia (Plurinational State of),Medium
Brazil,High
Barbados,High
Brunei Darussalam,Very High
Bhutan,Medium
Botswana,Medium
Central African Republic,Low
Canada,Very High
Switzerland,Very High
Chile,Very High
China,High
C̫te d'Ivoire,Medium
Cameroon,Medium
Congo (Democratic Republic of the),Low
Congo,Medium
Colombia,High
Comoros,Medium
Cabo Verde,Medium
Costa Rica,Very High
Cuba,High
Cyprus,Very High
Czechia,Very High
Germany,Very High
Djibouti,Low
Dominica,High
Denmark,Very High
Dominican Republic,High
Algeria,High
Ecuador,High
Egypt,High
Eritrea,Low
Spain,Very High
Estonia,Very High
Ethiopia,Low
Finland,Very High
Fiji,High
France,Very High
Micronesia (Federated States of),Medium
Gabon,High
United Kingdom,Very High
Georgia,Very High
Ghana,Medium
Guinea,Low
Gambia,Low
Guinea-Bissau,Low
Equatorial Guinea,Medium
Greece,Very High
Grenada,High
Guatemala,Medium
Guyana,High
"Hong Kong, China (SAR)",Very High
Honduras,Medium
Croatia,Very High
Haiti,Low
Hungary,Very High
Indonesia,High
India,Medium
Ireland,Very High
Iran (Islamic Republic of),High
Iraq,Medium
Iceland,Very High
Israel,Very High
Italy,Very High
Jamaica,High
Jordan,High
Japan,Very High
Kazakhstan,Very High
Kenya,Medium
Kyrgyzstan,Medium
Cambodia,Medium
Kiribati,Medium
Saint Kitts and Nevis,High
Korea (Republic of),Very High
Kuwait,Very High
Lao People's Democratic Republic,Medium
Lebanon,High
Liberia,Low
Libya,High
Saint Lucia,High
Liechtenstein,Very High
Sri Lanka,High
Lesotho,Low
Lithuania,Very High
Luxembourg,Very High
Latvia,Very High
Morocco,Medium
Monaco,
Moldova (Republic of),High
Madagascar,Low
Maldives,High
Mexico,High
Marshall Islands,Medium
North Macedonia,High
Mali,Low
Malta,Very High
Myanmar,Medium
Montenegro,Very High
Mongolia,High
Mozambique,Low
Mauritania,Medium
Mauritius,Very High
Malawi,Low
Malaysia,Very High
Namibia,Medium
Niger,Low
Nigeria,Low
Nicaragua,Medium
Netherlands,Very High
Norway,Very High
Nepal,Medium
Nauru,
New Zealand,Very High
Oman,Very High
Pakistan,Low
Panama,Very High
Peru,High
Philippines,Medium
Palau,High
Papua New Guinea,Medium
Poland,Very High
Korea (Democratic People's Rep. of),
Portugal,Very High
Paraguay,High
"Palestine, State of",High
Qatar,Very High
Romania,Very High
Russian Federation,Very High
Rwanda,Low
Saudi Arabia,Very High
Sudan,Low
Senegal,Low
Singapore,Very High
Solomon Islands,Medium
Sierra Leone,Low
El Salvador,Medium
San Marino,Very High
Somalia,
Serbia,Very High
South Sudan,Low
Sao Tome and Principe,Medium
Suriname,High
Slovakia,Very High
Slovenia,Very High
Sweden,Very High
Eswatini (Kingdom of),Medium
Seychelles,High
Syrian Arab Republic,Medium
Chad,Low
Togo,Low
Thailand,Very High
Tajikistan,Medium
Turkmenistan,High
Timor-Leste,Medium
Tonga,High
Trinidad and Tobago,Very High
Tunisia,High
Turkey,Very High
Tuvalu,Medium
Tanzania (United Republic of),Low
Uganda,Low
Ukraine,High
Uruguay,Very High
United States,Very High
Uzbekistan,High
Saint Vincent and the Grenadines,High
Venezuela (Bolivarian Republic of),Medium
Viet Nam,High
Vanuatu,Medium
Samoa,High
Yemen,Low
South Africa,High
Zambia,Medium
Zimbabwe,Medium
Very high human development,
High human development,
Medium human development,
Low human development,
Arab States,
East Asia and the Pacific,
Europe and Central Asia,
Latin America and the Caribbean,
South Asia,
Sub-Saharan Africa,
World,
